primary_genre,period,Sales
Mystery,1/1/2003,$111 
Mystery,1/1/2004,$268 
Mystery,1/1/2005,$123 
Mystery,1/1/2006,$38 
Mystery,1/1/2007,$1 
Mystery,1/1/2008,$181 
Mystery,1/1/2009,$183 
Mystery,1/1/2010,$65 
Mystery,1/1/2011,$3 
Mystery,1/1/2012,$130 
Mystery,1/1/2013,$18 
Mystery,1/1/2014,$392 
Mystery,1/1/2015,$103 
Mystery,1/1/2016,$161 
Romance,1/1/1980,$58 
Romance,1/1/1981,$59 
Romance,1/1/1982,$5 
Romance,1/1/1983,$17 
Romance,1/1/1984,$0 
Romance,1/1/1985,$70 
Romance,1/1/1986,$3 
Romance,1/1/1987,$334 
Romance,1/1/1988,$3 
Romance,1/1/1989,$1 
Romance,1/1/1990,$475 
Romance,1/1/1991,$390 
Romance,1/1/1992,$278 
Romance,1/1/1993,$82 
Romance,1/1/1994,$441 
Romance,1/1/1995,$76 
Romance,1/1/1996,$9 
Romance,1/1/1997,$0 
Romance,1/1/1998,$862 
Romance,1/1/1999,$882 
Romance,1/1/2000,$57 
Romance,1/1/2001,$1 
Romance,1/1/2002,$78 
Romance,1/1/2003,$126 
Romance,1/1/2004,$138 
Romance,1/1/2005,$520 
Romance,1/1/2006,$341 
Romance,1/1/2007,$61 
Romance,1/1/2008,$227 
Romance,1/1/2009,$456 
Romance,1/1/2010,$142 
Romance,1/1/2011,$413 
Romance,1/1/2012,$208 
Romance,1/1/2013,$390 
Romance,1/1/2014,$716 
Romance,1/1/2015,$828 
Romance,1/1/2016,$585 
Science Fiction,1/1/1980,$38 
Science Fiction,1/1/1981,$67 
Science Fiction,1/1/1982,$932 
Science Fiction,1/1/1983,$59 
Science Fiction,1/1/1984,$87 
Science Fiction,1/1/1985,$2 
Science Fiction,1/1/1986,$145 
Science Fiction,1/1/1987,$98 
Science Fiction,1/1/1988,$553 
Science Fiction,1/1/1989,$70 
Science Fiction,1/1/1990,$261 
Science Fiction,1/1/1991,$174 
Science Fiction,1/1/1992,$159 
Science Fiction,1/1/1993,$2 
Science Fiction,1/1/1994,$120 
Science Fiction,1/1/1995,$395 
Science Fiction,1/1/1996,$150 
Science Fiction,1/1/1997,$231 
Science Fiction,1/1/1998,$529 
Science Fiction,1/1/1999,$36 
Science Fiction,1/1/2000,$464 
Science Fiction,1/1/2001,$44 
Science Fiction,1/1/2002,$191 
Science Fiction,1/1/2003,$0 
Science Fiction,1/1/2004,$297 
Science Fiction,1/1/2005,$888 
Science Fiction,1/1/2006,$31 
Science Fiction,1/1/2007,$104 
Science Fiction,1/1/2008,$199 
Science Fiction,1/1/2009,$1 
Science Fiction,1/1/2010,$143 
Science Fiction,1/1/2011,$127 
Science Fiction,1/1/2012,$2 
Science Fiction,1/1/2013,$1 
Science Fiction,1/1/2014,$3 
Science Fiction,1/1/2015,$1 
Science Fiction,1/1/2016,$543 
Thriller,1/1/1980,$31 
Thriller,1/1/1981,$100 
Thriller,1/1/1982,$84 
Thriller,1/1/1983,$183 
Thriller,1/1/1984,$40 
Thriller,1/1/1985,$0 
Thriller,1/1/1986,$0 
Thriller,1/1/1987,$35 
Thriller,1/1/1988,$43 
Thriller,1/1/1989,$16 
Thriller,1/1/1990,$227 
Thriller,1/1/1991,$142 
Thriller,1/1/1992,$904 
Thriller,1/1/1993,$2 
Thriller,1/1/1994,$367 
Thriller,1/1/1995,$31 
Thriller,1/1/1996,$0 
Thriller,1/1/1997,$137 
Thriller,1/1/1998,$263 
Thriller,1/1/1999,$248 
Thriller,1/1/2000,$482 
Thriller,1/1/2001,$968 
Thriller,1/1/2002,$608 
Thriller,1/1/2003,$417 
Thriller,1/1/2004,$509 
Thriller,1/1/2005,$335 
Thriller,1/1/2006,$852 
Thriller,1/1/2007,$818 
Thriller,1/1/2008,$523 
Thriller,1/1/2009,$675 
Thriller,1/1/2010,$515 
Thriller,1/1/2011,$1 
